TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
8.312743764,0.0436306,3.354,0.0131,0.00110148,3.28411,0.12721,1.73932,0,0.736746,0,1.62082,0.227365
8.359183673,0.00013401,3.24599,0,0,3.14847,0.0835676,2.11111,0,0.701656,0,1.5894,0.163111
8.405623583,0.128939,2.92286,0,0.0324281,2.90977,0.0839378,2.36586,0,0.855733,0.104724,1.44126,0.0568314
8.452063492,0.232765,2.75045,0,0.138862,2.6654,0.0702449,2.31461,0,1.44688,0.183629,1.1674,0
8.498503401,0.28409,2.69392,0,0.280879,2.42064,0.039489,2.26026,0,2.12521,0.197799,0.767232,0
8.544943311,0.384568,2.6871,0.00146327,0.381353,2.45731,0.0162541,2.31693,0,2.37782,0.115139,0.353228,0
8.591383220,0.423417,2.62701,0.00322502,0.33136,2.74365,0.0286911,2.40686,0,2.45767,0.0306424,0.37626,0.0271163
8.637823129,0.238331,2.34424,0.00196945,0.0710693,3.1347,0,2.03076,0,2.55053,0.0196539,0.52917,0.213575
8.684263039,0.042117,1.88531,0,0.0502084,3.43613,0.000185347,1.72688,0,2.52244,0.0147223,0.619664,0.329526
8.730702948,0.01842,2.00096,0.0301833,0.0116519,3.74342,0.0040963,1.51316,0,2.10341,0.00435863,0.648898,0.322785
8.777142857,0.0536602,2.23585,0,0.00837036,3.83446,0.117636,1.31937,0.0224081,1.91673,0.00778046,0.70954,0.348948
8.823582766,0.0335993,2.53275,0,0.00353017,3.79652,0.248182,1.31662,0.0380128,1.832,0,0.736854,0.402938
8.870022676,0.0101141,2.82954,0.0170858,0,3.69314,0.282508,1.34104,0.0536711,1.78141,0,0.861821,0.342659
8.916462585,0.00013057,2.86522,0,0,3.55424,0.200221,1.55163,0.0425587,1.69459,0,0.948087,0.152451
8.962902494,0.000133198,2.84109,0,0,3.35972,0.302745,1.84693,0.0412226,1.71962,0,0.78551,0.141644
9.009342404,0.0203248,2.77177,0.00213766,0.0120928,3.17665,0.266607,2.14225,0.0302034,1.72996,0.0386305,0.387179,0.162321
9.055782313,0.0189624,2.73842,0.000117437,0.0153766,3.00499,0.228532,2.23969,0.00447468,1.73773,0.102282,0.245643,0.306766
9.102222222,0.0904384,2.53687,0.000264056,0.0751206,2.85378,0.275245,1.85833,0,2.21457,0.201658,0.0506436,0.404383
9.148662132,0.162912,2.5695,0,0.164328,2.8483,0.294699,1.27411,0,2.67527,0.274983,0.0796728,0.403893
9.195102041,0.189052,2.84217,0,0.235437,3.00969,0.0520663,1.01652,0,2.86797,0.14928,0.131204,0.335613
9.241541950,0.253389,2.82904,0,0.219064,3.1756,0.0904078,0.99729,0,3.12298,0.0809369,0.162628,0.272231
