TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
8.777142857,0.12117,1.35537,0.0029258,0.521762,0.266532,1.33505,0.394567,0.67126,0.167827,0,3.45274,6.14821e-06
8.823582766,0.0766269,1.61732,0.0415197,0.29567,0.325278,1.32913,0.441495,0.596325,0.120534,0.167363,3.1737,9.00221e-06
8.870022676,5.81805e-05,1.54206,0.0409981,0.145239,0.427778,1.3523,0.630279,0.638334,0.295572,0.129379,2.57002,8.57703e-06
8.916462585,0,1.39982,0.0718537,0.14267,0.339278,1.4518,0.530743,0.750368,0.657112,0.120828,2.48774,4.71943e-06
8.962902494,0,1.18763,0.13829,0.125371,0.139923,1.37283,0.30104,0.823345,0.982887,0.156022,2.36278,0.0482706
9.009342404,0,1.01796,0.037809,0.112665,0.123155,0.987824,0.231205,0.911335,0.952238,0.148673,2.04015,0.0843827
9.055782313,0.214174,1.34353,0.114513,0.117051,0,1.01238,0.235022,0.913088,0.857547,0.122777,1.62097,0.113055
9.102222222,0.275671,1.72625,0.279243,0.146362,0,1.26918,0.150499,0.840273,0.821698,0.246782,1.81103,0
9.148662132,0.341169,1.64201,0.385571,0.171425,0.0100675,1.04912,0.196742,0.830474,1.02128,0.636838,1.67815,0.0377055
9.195102041,0.358447,1.29011,0.787506,0.160561,0.0233672,0.708442,0.48417,0.831589,1.43784,0.848048,1.65194,0.0687044
9.241541950,0.405394,1.31369,0.82409,0.148203,0.00336768,0.0979476,0.549349,0.82743,1.86571,0.792195,1.48206,0
9.287981859,0.690397,1.23674,0.767229,0.244524,0,0.435863,0.131667,0.818295,2.32636,0.347249,1.41418,0.0245368
9.334421769,0.998401,1.14887,0.492766,0.232719,0,0.532851,0.0556915,1.15673,2.25465,0.340074,1.45492,0.0666554
9.380861678,0.84637,1.25449,0.181607,0.150746,0,0.619379,0.066045,1.27788,1.78933,0.468728,1.67662,0.0655631
9.427301587,0.803084,1.41166,0.158465,0.104587,0.313899,0.791291,0.0755342,1.17694,1.33819,0.411461,1.60423,0.0504679
9.473741497,1.22126,1.20841,0.393054,0.0611004,0.450536,0.447107,0.272791,0.908487,1.66064,0.417521,1.36964,0.0353954
9.520181406,1.30036,0.873733,0.567736,0.0861808,0.16927,0.309469,0.327885,0.51563,2.19008,0.509995,1.20977,0
9.566621315,1.48663,0.820664,0.445114,0.0621403,0.166184,0.3413,0.0503723,0.389891,2.4016,0.491715,1.20598,0.0517408
9.613061224,1.40986,0.805509,0.137769,0.019241,0.200433,0.417971,0.0506174,0.136044,2.67075,0.576757,1.2533,0.226918
9.659501134,1.19205,0.681693,0.198149,0.0642983,0.218635,0.560069,0.0530929,0.025186,2.77069,0.65907,1.05487,0
9.705941043,1.53445,0.660787,0.331894,0.090042,0.112698,0.710711,0.0485995,0.0187693,2.79449,0.543359,0.599056,0.0188879
9.752380952,1.61736,0.965991,0.329775,0.027122,0,0.609208,0.0419872,0,2.7638,0.425082,0.356554,0.020931
9.798820862,1.45463,1.25037,0.134425,0.0170511,0,0.486425,0.0114552,0,2.33029,0.319013,0.497076,0.0941663
